City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
1,9,20,1,1,48,4,0,3,29,1,1,1,2011
9,15,21,13,0,64,3,1,2,26,9,10,0,2007
46,20,7,10,1,80,9,0,3,11,49,9,0,2009
39,30,16,11,1,62,10,0,3,24,41,3,0,2013
62,23,16,1,0,57,11,0,2,24,66,5,0,2014
50,25,11,4,0,62,1,0,12,17,53,5,0,2015
13,29,24,7,0,89,3,0,10,26,13,24,1,2009
66,16,23,3,0,84,9,2,11,26,73,5,0,2006
36,7,16,2,0,68,12,0,7,21,37,12,1,2007
1,13,21,1,1,56,10,0,7,29,1,1,1,2011
24,19,22,21,1,75,3,0,11,26,24,9,1,2007
70,9,12,11,1,43,11,0,12,24,80,8,0,2014
34,14,5,5,1,38,2,0,6,19,35,12,0,2007
45,25,12,13,0,79,8,2,17,16,48,20,0,2008
3,20,6,6,1,40,1,0,12,19,3,15,0,2009
38,9,8,4,1,67,6,0,12,14,39,17,0,2013
24,21,22,1,1,80,3,0,12,26,24,7,1,2007
36,5,4,2,1,29,5,0,1,18,37,13,0,2013
65,23,23,12,0,76,8,0,6,28,70,12,1,2014
3,30,26,1,1,71,6,0,12,32,3,12,1,2008
15,25,23,7,1,83,3,0,3,26,15,14,1,2012
9,30,23,7,1,69,6,0,11,28,9,24,0,2013
19,22,23,12,0,75,7,0,6,28,40,13,1,2015
62,11,19,1,1,66,3,0,10,26,66,5,0,2011
71,15,12,11,1,49,11,0,6,22,81,0,0,2007
6,29,22,7,0,77,3,0,4,26,6,7,1,2007
51,24,11,5,1,58,3,0,6,20,54,16,0,2013
49,15,3,5,0,58,10,0,2,12,74,9,0,2010
15,5,24,7,0,81,7,2,11,28,15,18,0,2009
3,25,24,15,1,68,6,0,11,32,3,17,1,2008
44,9,15,4,0,77,2,0,2,18,46,6,0,2012
1,20,11,1,1,33,2,0,12,22,1,3,1,2014
24,11,23,11,1,69,7,0,12,28,24,7,0,2013
