City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
Chester-le-Street,15,5,England,0,69,6,0,New Zealand,10,Riverside Ground,4,0,2008
Colombo,31,17,Sri Lanka,1,61,1,0,India,26,R Premadasa Stadium,10,1,2009
Christchurch,21,14,Pakistan,1,84,2,0,West Indies,16,Hagley Oval,15,1,2015
Bloemfontein,31,-1,South Africa,0,27,10,0,Kenya,20,OUTsurance Oval,6,0,2008
Hambantota,10,22,Sri Lanka,0,75,11,2,New Zealand,28,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",7,0,2013
Colombo,3,22,Sri Lanka,1,88,2,0,West Indies,24,Sinhalese Sports Club Ground,14,0,2011
Colombo,31,23,Sri Lanka,0,75,7,0,India,29,R Premadasa Stadium,15,1,2012
Karachi,29,25,Pakistan,1,71,6,0,Sri Lanka,31,National Stadium,12,1,2008
Mirpur,24,26,Bangladesh,1,82,6,0,India,28,Shere Bangla National Stadium,1,1,2015
Trinidad,8,25,West Indies,0,81,6,0,India,29,"Queen's Park Oval, Port of Spain",7,1,2011
Chennai,20,24,Kenya,0,83,2,0,New Zealand,28,"MA Chidambaram Stadium, Chepauk",9,1,2011
Trinidad,3,24,West Indies,0,78,6,0,South Africa,29,"Queen's Park Oval, Port of Spain",11,1,2010
Manchester,10,11,England,1,90,7,0,Australia,12,Old Trafford,9,0,2012
Centurion,15,11,South Africa,0,48,3,0,Pakistan,22,SuperSport Park,8,1,2013
Nagpur,12,10,India,0,32,3,0,South Africa,27,"Vidarbha Cricket Association Stadium, Jamtha",10,1,2011
Lahore,29,15,Pakistan,1,32,5,0,Zimbabwe,36,Gaddafi Stadium,11,0,2015
Benoni,2,14,Bermuda,1,64,12,0,Netherlands,20,Willowmoore Park,20,0,2006
Jamaica,28,24,West Indies,1,74,6,0,Sri Lanka,29,"Sabina Park, Kingston",20,0,2013
Port Elizabeth,6,15,South Africa,0,68,2,0,England,21,St George's Park,28,1,2016
Bristol,21,13,England,1,94,6,0,New Zealand,14,County Ground,16,1,2008
Antigua,5,20,West Indies,1,72,3,0,England,25,"Sir Vivian Richards Stadium, North Sound",14,1,2014
Abu Dhabi,23,16,Pakistan,1,60,11,0,Sri Lanka,24,Sheikh Zayed Stadium,12,0,2011
Mirpur,6,18,Bangladesh,0,65,12,0,Zimbabwe,23,Shere Bangla National Stadium,0,0,2010
Cardiff,14,11,South Africa,0,83,6,1,West Indies,14,Sophia Gardens,16,0,2013
Johannesburg,3,12,South Africa,1,57,2,0,West Indies,20,New Wanderers Stadium,12,0,2008
Colombo,23,22,Sri Lanka,1,80,7,0,Bangladesh,26,R Premadasa Stadium,9,0,2007
Auckland,14,16,India,1,78,3,0,Zimbabwe,22,Eden Park,7,0,2015
Christchurch,2,8,New Zealand,1,82,1,0,Sri Lanka,12,Jade Stadium,19,0,2007
Hambantota,26,22,Sri Lanka,0,72,7,0,Pakistan,29,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",17,0,2015
Mirpur,7,13,Bangladesh,0,76,1,0,India,17,Shere Bangla National Stadium,1,1,2010
