City,Day,FirstTeam,FirstToBat,IndianPlayer1,IndianPlayer10,IndianPlayer11,IndianPlayer2,IndianPlayer3,IndianPlayer4,IndianPlayer5,IndianPlayer6,IndianPlayer7,IndianPlayer8,IndianPlayer9,Month,OppositePlayer1,OppositePlayer10,OppositePlayer11,OppositePlayer2,OppositePlayer3,OppositePlayer4,OppositePlayer5,OppositePlayer6,OppositePlayer7,OppositePlayer8,OppositePlayer9,Result,SecondTeam,Venue,Winner,Year
Wellington,31,New Zealand,0,B Kumar,Mohammed Shami,AM Rahane,AT Rayudu,VR Aaron,MS Dhoni,V Kohli,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,1,NL McCullum,MJ Henry,BB McCullum,JD Ryder,MJ McClenaghan,JDS Neesham,LRPL Taylor,KS Williamson,L Ronchi,KD Mills,MJ Guptill,0,India,Westpac Stadium,0,2014
Centurion,11,South Africa,0,I Sharma,,,V Kohli,UT Yadav,R Ashwin,RA Jadeja,SK Raina,Mohammed Shami,,,12,JP Duminy,DA Miller,,AB de Villiers,LL Tsotsobe,Q de Kock,R McLaren,WD Parnell,HM Amla,VD Philander,H Davids,2,India,SuperSport Park,0,2013
Brisbane,3,Australia,1,MS Dhoni,SR Tendulkar,S Sreesanth,V Sehwag,I Sharma,G Gambhir,RG Sharma,RV Uthappa,Harbhajan Singh,MK Tiwary,IK Pathan,2,RT Ponting,,,MJ Clarke,B Lee,NW Bracken,A Symonds,AC Gilchrist,JR Hopes,AA Noffke,MG Johnson,2,India,"Brisbane Cricket Ground, Woolloongabba",0,2008
Birmingham,15,India,1,B Kumar,,,I Sharma,V Kohli,RG Sharma,KD Karthik,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,6,Saeed Ajmal,Misbah-ul-Haq,Umar Amin,Kamran Akmal,Nasir Jamshed,Asad Shafiq,Junaid Khan,Mohammad Hafeez,Wahab Riaz,Shoaib Malik,Mohammad Irfan,0,Pakistan,Edgbaston,0,2013
Karachi,6,India,1,RP Singh,SK Raina,Yuvraj Singh,PP Ojha,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,RV Uthappa,IK Pathan,7,KMDN Kulasekara,BAW Mendis,DPMD Jayawardene,LPC Silva,TM Dilshan,T Thushara,ST Jayasuriya,KC Sangakkara,CK Kapugedera,WPUJC Vaas,M Muralitharan,0,Sri Lanka,National Stadium,1,2008
Jamaica,16,West Indies,1,A Mishra,YK Pathan,R Vinay Kumar,I Sharma,V Kohli,RG Sharma,S Dhawan,R Ashwin,PA Patel,MK Tiwary,SK Raina,6,DM Bravo,DJG Sammy,,MN Samuels,RR Sarwan,AB Barath,LMP Simmons,KAJ Roach,AD Russell,KA Pollard,A Martin,0,India,"Sabina Park, Kingston",0,2011
Mirpur,14,India,1,PP Chawla,Yuvraj Singh,SK Raina,P Kumar,MS Dhoni,V Sehwag,I Sharma,G Gambhir,RG Sharma,IK Pathan,YK Pathan,6,Fawad Alam,Misbah-ul-Haq,,Salman Butt,Sohail Tanvir,Kamran Akmal,Younis Khan,Iftikhar Anjum,Umar Gul,Shoaib Malik,Shahid Afridi,0,Pakistan,Shere Bangla National Stadium,1,2008
Mirpur,2,India,0,AT Rayudu,Mohammed Shami,AM Rahane,A Mishra,B Kumar,V Kohli,RG Sharma,KD Karthik,S Dhawan,RA Jadeja,R Ashwin,3,Saeed Ajmal,Misbah-ul-Haq,Sharjeel Khan,Sohaib Maqsood,Ahmed Shehzad,Umar Gul,Junaid Khan,Mohammad Hafeez,Umar Akmal,Mohammad Talha,Shahid Afridi,0,Pakistan,Shere Bangla National Stadium,1,2014
Perth,8,India,1,P Kumar,SR Tendulkar,R Vinay Kumar,MS Dhoni,V Sehwag,V Kohli,Z Khan,RG Sharma,RA Jadeja,R Ashwin,SK Raina,2,KMDN Kulasekara,LD Chandimal,DPMD Jayawardene,TM Dilshan,HDRL Thirimanne,KTGD Prasad,SL Malinga,WU Tharanga,KC Sangakkara,NLTC Perera,AD Mathews,0,Sri Lanka,Western Australia Cricket Association Ground,0,2012
Delhi,6,India,0,B Kumar,Shami Ahmed,AM Rahane,MS Dhoni,I Sharma,V Kohli,G Gambhir,R Ashwin,RA Jadeja,SK Raina,Yuvraj Singh,1,Saeed Ajmal,Mohammad Irfan,Misbah-ul-Haq,Kamran Akmal,Younis Khan,Nasir Jamshed,Umar Gul,Junaid Khan,Mohammad Hafeez,Umar Akmal,Shoaib Malik,0,Pakistan,Feroz Shah Kotla,0,2013
Kanpur,27,India,1,B Kumar,Yuvraj Singh,Mohammed Shami,MS Dhoni,V Kohli,MM Sharma,RG Sharma,S Dhawan,R Ashwin,RA Jadeja,SK Raina,11,R Rampaul,DJG Sammy,V Permaul,KOA Powell,DM Bravo,SP Narine,LMP Simmons,JO Holder,DJ Bravo,J Charles,MN Samuels,0,West Indies,Green Park,0,2013
Bulawayo,3,Zimbabwe,0,A Mishra,CA Pujara,,MM Sharma,JD Unadkat,KD Karthik,S Dhawan,RA Jadeja,SK Raina,Mohammed Shami,AM Rahane,8,BRM Taylor,V Sibanda,KM Jarvis,TC Mutombodzi,SC Williams,BV Vitori,T Maruma,N Mushangwe,MN Waller,H Masakadza,E Chigumbura,0,India,Queens Sports Club,1,2013
Vadodara,25,India,1,P Kumar,SK Raina,SR Tendulkar,MS Dhoni,I Sharma,A Nehra,V Sehwag,G Gambhir,V Kohli,Harbhajan Singh,RA Jadeja,10,RT Ponting,CL White,MEK Hussey,PM Siddle,B Lee,AC Voges,SR Watson,TD Paine,NM Hauritz,JR Hopes,MG Johnson,0,Australia,Reliance Stadium,1,2009
Chandigarh,30,India,0,MS Dhoni,Yuvraj Singh,SR Tendulkar,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,MM Patel,SK Raina,3,Saeed Ajmal,Shahid Afridi,Misbah-ul-Haq,Kamran Akmal,Younis Khan,Abdul Razzaq,Asad Shafiq,Umar Gul,Mohammad Hafeez,Umar Akmal,Wahab Riaz,0,Pakistan,"Punjab Cricket Association Stadium, Mohali",0,2011
Delhi,27,India,1,A Nehra,,,Z Khan,Harbhajan Singh,S Tyagi,,,,,,12,TT Samaraweera,,,SHT Kandamby,TM Dilshan,M Pushpakumara,ST Jayasuriya,WU Tharanga,KC Sangakkara,,,2,Sri Lanka,Feroz Shah Kotla,0,2009
Bulawayo,30,India,1,A Mishra,M Vijay,,PP Ojha,V Kohli,RG Sharma,KD Karthik,UT Yadav,RA Jadeja,SK Raina,AB Dinda,5,S Randiv,CRD Fernando,BAW Mendis,TT Samaraweera,KMDN Kulasekara,LPC Silva,TM Dilshan,WU Tharanga,CK Kapugedera,NLTC Perera,AD Mathews,0,Sri Lanka,Queens Sports Club,0,2010
Kanpur,11,India,1,B Kumar,STR Binny,AM Rahane,A Mishra,MS Dhoni,V Kohli,RG Sharma,S Dhawan,R Ashwin,UT Yadav,SK Raina,10,DW Steyn,Imran Tahir,DA Miller,JP Duminy,AB de Villiers,K Rabada,M Morkel,F Behardien,Q de Kock,HM Amla,F du Plessis,0,South Africa,Green Park,1,2015
Leeds,5,England,0,B Kumar,Mohammed Shami,AM Rahane,AT Rayudu,MS Dhoni,V Kohli,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,SK Raina,9,AD Hales,CR Woakes,JE Root,JC Buttler,JC Tredwell,ST Finn,EJG Morgan,MM Ali,JM Anderson,AN Cook,BA Stokes,0,India,Headingley,0,2014
Mumbai,25,India,1,B Kumar,SK Raina,AM Rahane,A Mishra,MS Dhoni,V Kohli,MM Sharma,AR Patel,RG Sharma,S Dhawan,Harbhajan Singh,10,DW Steyn,Imran Tahir,DA Miller,AB de Villiers,K Rabada,F Behardien,KJ Abbott,Q de Kock,D Elgar,HM Amla,F du Plessis,0,South Africa,Wankhede Stadium,1,2015
Nagpur,18,India,0,P Kumar,SK Raina,SR Tendulkar,MS Dhoni,V Sehwag,V Kohli,G Gambhir,Z Khan,A Nehra,Harbhajan Singh,RA Jadeja,12,S Randiv,BAW Mendis,DPMD Jayawardene,RAS Lakmal,SHT Kandamby,TM Dilshan,UWMBCA Welegedara,WU Tharanga,KC Sangakkara,CK Kapugedera,AD Mathews,0,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",1,2009
Hamilton,10,India,1,V Kohli,AM Rahane,,MM Sharma,RG Sharma,S Dhawan,R Ashwin,UT Yadav,RA Jadeja,SK Raina,Mohammed Shami,3,GH Dockrell,SR Thompson,NJ O'Brien,WTS Porterfield,A Balbirnie,GC Wilson,EC Joyce,AR Cusack,PR Stirling,JF Mooney,KJ O'Brien,0,Ireland,Seddon Park,0,2015
Mirpur,18,India,1,P Kumar,SR Tendulkar,AB Dinda,MS Dhoni,V Kohli,G Gambhir,RG Sharma,R Ashwin,IK Pathan,YK Pathan,SK Raina,3,Saeed Ajmal,Shahid Afridi,Misbah-ul-Haq,Younis Khan,Nasir Jamshed,Umar Gul,Mohammad Hafeez,Aizaz Cheema,Umar Akmal,Wahab Riaz,Hammad Azam,0,Pakistan,Shere Bangla National Stadium,0,2012
Antigua,13,West Indies,0,A Mishra,YK Pathan,SK Raina,P Kumar,I Sharma,V Kohli,S Badrinath,RG Sharma,R Ashwin,PA Patel,MK Tiwary,6,DM Bravo,DJG Sammy,DP Hyatt,MN Samuels,RR Sarwan,LMP Simmons,KAJ Roach,CS Baugh,AD Russell,KA Pollard,A Martin,0,India,"Sir Vivian Richards Stadium, North Sound",0,2011
Birmingham,27,England,0,PP Chawla,Yuvraj Singh,SR Tendulkar,RP Singh,RR Powar,MS Dhoni,R Dravid,Z Khan,KD Karthik,SC Ganguly,MM Patel,8,OA Shah,AN Cook,KP Pietersen,SCJ Broad,MJ Prior,IR Bell,CT Tremlett,RS Bopara,PD Collingwood,JM Anderson,MS Panesar,0,India,Edgbaston,0,2007
Bangalore,6,India,1,PP Chawla,Yuvraj Singh,SR Tendulkar,MS Dhoni,V Sehwag,V Kohli,Z Khan,G Gambhir,Harbhajan Singh,MM Patel,YK Pathan,3,GH Dockrell,KJ O'Brien,NJ O'Brien,AR White,WTS Porterfield,EC Joyce,AR Cusack,WB Rankin,PR Stirling,JF Mooney,DT Johnston,0,Ireland,M Chinnaswamy Stadium,0,2011
Chester-le-Street,3,England,1,P Kumar,AM Rahane,,MS Dhoni,R Dravid,V Kohli,RG Sharma,R Ashwin,PA Patel,SK Raina,R Vinay Kumar,9,SCJ Broad,,,IJL Trott,JW Dernbach,TT Bresnan,C Kieswetter,IR Bell,JM Anderson,AN Cook,SR Patel,2,India,Riverside Ground,0,2011
Kolkata,8,India,1,S Sreesanth,,,Z Khan,Harbhajan Singh,MM Patel,,,,,,2,ST Jayasuriya,,,MS Atapattu,WU Tharanga,KC Sangakkara,DPMD Jayawardene,,,,,2,Sri Lanka,Eden Gardens,0,2007
Karachi,28,Bangladesh,0,RP Singh,SK Raina,,PP Ojha,I Sharma,G Gambhir,RV Uthappa,RG Sharma,YK Pathan,Yuvraj Singh,MS Gony,6,Mashrafe Mortaza,Raqibul Hasan,Farhad Reza,Mohammad Ashraful,Nazimuddin,Tamim Iqbal,Mushfiqur Rahim,Mahmudullah,Shahadat Hossain,Abdur Razzak,Alok Kapali,0,India,National Stadium,1,2008
Vadodara,31,India,0,AB Agarkar,Yuvraj Singh,SR Tendulkar,MS Dhoni,R Dravid,Z Khan,RV Uthappa,SC Ganguly,Harbhajan Singh,A Kumble,IK Pathan,1,DS Smith,RR Emrit,S Chanderpaul,CH Gayle,D Ramdin,BC Lara,LMP Simmons,DBL Powell,DR Smith,MN Samuels,IDR Bradshaw,0,West Indies,Indian Petrochemicals Corporation Limited Sports Complex Ground,0,2007
Belfast,1,India,1,PP Chawla,SR Tendulkar,,AB Agarkar,RP Singh,MS Dhoni,R Dravid,Z Khan,G Gambhir,SC Ganguly,Yuvraj Singh,7,DW Steyn,JM Kemp,JH Kallis,JP Duminy,AB de Villiers,AJ Hall,HH Gibbs,MV Boucher,M Ntini,MN van Wyk,A Nel,0,South Africa,"Civil Service Cricket Club, Stormont",0,2007
Kochi,15,India,0,B Kumar,Shami Ahmed,AM Rahane,MS Dhoni,I Sharma,V Kohli,G Gambhir,RA Jadeja,R Ashwin,SK Raina,Yuvraj Singh,1,C Kieswetter,JE Root,SR Patel,JW Dernbach,JC Tredwell,IR Bell,ST Finn,EJG Morgan,AN Cook,KP Pietersen,CR Woakes,0,England,Nehru Stadium,0,2013
